id,title,description,link,image_link,price,sale_price,category,availability,color,gender,mpn
w1,Silk Slip Dress,Effortlessly elegant bias-cut slip dress in pure silk charmeuse. Adjustable spaghetti straps and a delicate lace-trimmed hem.,http://localhost:8080/product/detail.html?id=w1,https://images.unsplash.com/photo-1515886657613-9f3515b0c78f?w=400&h=500&fit=crop&q=80,189.00,,Clothing > Women,out of stock,Black,Women,w0119b
w2,Linen Midi Dress,Relaxed midi-length dress in breathable European linen. Side pockets and a self-tie belt at the waist.,http://localhost:8080/product/detail.html?id=w2,https://images.unsplash.com/photo-1539109136881-3be0616acf4b?w=400&h=500&fit=crop&q=80,165.00,,Clothing > Women,in stock,White,Women,w0228w
w3,Wrap Dress,Classic wrap silhouette in matte jersey. Universally flattering with a fluid A-line skirt.,http://localhost:8080/product/detail.html?id=w3,https://images.unsplash.com/photo-1485968579580-b6d095142e6e?w=400&h=500&fit=crop&q=80,175.00,,Clothing > Women,in stock,Navy,Women,w0326n
w4,Maxi Shirt Dress,Floor-length shirt dress in cotton poplin. Button-through front with a cinched waist.,http://localhost:8080/product/detail.html?id=w4,https://images.unsplash.com/photo-1496747611176-843222e1e57c?w=400&h=500&fit=crop&q=80,195.00,,Clothing > Women,in stock,Beige,Women,w0420b
w5,Cocktail Dress,Sculptural cocktail dress in double-face crepe. Asymmetric neckline with a fitted bodice.,http://localhost:8080/product/detail.html?id=w5,https://images.unsplash.com/photo-1469334031218-e382a71b716b?w=400&h=500&fit=crop&q=80,285.00,,Clothing > Women,out of stock,Brown,Women,w0521b
w6,Floral Midi Dress,Romantic floral-print dress in viscose georgette. Tiered skirt with a smocked bodice.,http://localhost:8080/product/detail.html?id=w6,https://images.unsplash.com/photo-1554568218-0f1715e72254?w=400&h=500&fit=crop&q=80,155.00,,Clothing > Women,in stock,Grey,Women,w0624g
w7,Satin Slip Dress,Liquid satin slip dress with cowl neckline. Bias-cut for a body-skimming silhouette.,http://localhost:8080/product/detail.html?id=w7,https://images.unsplash.com/photo-1529139574466-a303027c1d8b?w=400&h=500&fit=crop&q=80,210.00,,Clothing > Women,in stock,Camel,Women,w0722c
w8,Knit Bodycon Dress,Ribbed knit dress that hugs every curve. Crew neck with long sleeves and midi length.,http://localhost:8080/product/detail.html?id=w8,https://images.unsplash.com/photo-1548036328-c9fa89d128fa?w=400&h=500&fit=crop&q=80,145.00,,Clothing > Women,in stock,Ivory,Women,w0825i
w9,Tiered Maxi Dress,Flowing tiered maxi in printed cotton voile. Adjustable tie straps and a shirred back.,http://localhost:8080/product/detail.html?id=w9,https://images.unsplash.com/photo-1515886657613-9f3515b0c78f?w=400&h=500&fit=crop&q=80,185.00,,Clothing > Women,out of stock,Red,Women,w0927r
w10,Blazer Dress,Sharp double-breasted blazer dress with peak lapels. A power piece for day or evening.,http://localhost:8080/product/detail.html?id=w10,https://images.unsplash.com/photo-1539109136881-3be0616acf4b?w=400&h=500&fit=crop&q=80,225.00,,Clothing > Women,in stock,Green,Women,w1023g
w11,Pleated Shirt Dress,Cotton shirt dress with permanent knife pleats below the waist. Cuffed three-quarter sleeves.,http://localhost:8080/product/detail.html?id=w11,https://images.unsplash.com/photo-1485968579580-b6d095142e6e?w=400&h=500&fit=crop&q=80,175.00,,Clothing > Women,in stock,Black,Women,w1119b
w12,Off-Shoulder Dress,Romantic off-shoulder dress in cotton poplin. Puffed sleeves with an elasticated neckline.,http://localhost:8080/product/detail.html?id=w12,https://images.unsplash.com/photo-1496747611176-843222e1e57c?w=400&h=500&fit=crop&q=80,165.00,,Clothing > Women,in stock,White,Women,w1228w
w13,Velvet Mini Dress,Luxurious velvet mini dress with a square neckline. Perfect for evening occasions.,http://localhost:8080/product/detail.html?id=w13,https://images.unsplash.com/photo-1469334031218-e382a71b716b?w=400&h=500&fit=crop&q=80,195.00,,Clothing > Women,out of stock,Navy,Women,w1326n
w14,Tweed Shift Dress,Structured shift dress in Italian bouclé tweed. Fringe trim at hem and pockets.,http://localhost:8080/product/detail.html?id=w14,https://images.unsplash.com/photo-1554568218-0f1715e72254?w=400&h=500&fit=crop&q=80,235.00,,Clothing > Women,in stock,Beige,Women,w1420b
w15,Jersey Wrap Dress,Easy-care matte jersey wrap dress. Perfect from desk to dinner with a simple belt change.,http://localhost:8080/product/detail.html?id=w15,https://images.unsplash.com/photo-1529139574466-a303027c1d8b?w=400&h=500&fit=crop&q=80,125.00,,Clothing > Women,in stock,Brown,Women,w1521b
w16,Embroidered Maxi Dress,Hand-embroidered maxi dress in organic cotton. Intricate floral motifs along the bodice.,http://localhost:8080/product/detail.html?id=w16,https://images.unsplash.com/photo-1548036328-c9fa89d128fa?w=400&h=500&fit=crop&q=80,265.00,,Clothing > Women,in stock,Grey,Women,w1624g
w17,Denim Shirt Dress,Soft-washed denim dress with a relaxed fit. Roll-tab sleeves and chest pockets.,http://localhost:8080/product/detail.html?id=w17,https://images.unsplash.com/photo-1515886657613-9f3515b0c78f?w=400&h=500&fit=crop&q=80,135.00,,Clothing > Women,out of stock,Camel,Women,w1722c
w18,Sequin Mini Dress,All-over sequin mini dress for statement evenings. Lined in silk with a concealed back zip.,http://localhost:8080/product/detail.html?id=w18,https://images.unsplash.com/photo-1539109136881-3be0616acf4b?w=400&h=500&fit=crop&q=80,295.00,,Clothing > Women,in stock,Ivory,Women,w1825i
w19,Cable Knit Dress,Chunky cable-knit sweater dress in merino wool. Relaxed fit falling just above the knee.,http://localhost:8080/product/detail.html?id=w19,https://images.unsplash.com/photo-1485968579580-b6d095142e6e?w=400&h=500&fit=crop&q=80,165.00,,Clothing > Women,in stock,Red,Women,w1927r
w20,Pinafore Dress,Layering-ready pinafore in sturdy cotton twill. Square neckline with adjustable straps.,http://localhost:8080/product/detail.html?id=w20,https://images.unsplash.com/photo-1496747611176-843222e1e57c?w=400&h=500&fit=crop&q=80,115.00,,Clothing > Women,in stock,Green,Women,w2023g
w21,Halter Neck Dress,Elegant halter-neck dress in fluid crepe. Open back with a tie closure at the nape.,http://localhost:8080/product/detail.html?id=w21,https://images.unsplash.com/photo-1469334031218-e382a71b716b?w=400&h=500&fit=crop&q=80,185.00,,Clothing > Women,out of stock,Black,Women,w2119b
w22,Smocked Sundress,Breezy cotton sundress with all-over smocking at the bodice. Adjustable spaghetti straps.,http://localhost:8080/product/detail.html?id=w22,https://images.unsplash.com/photo-1554568218-0f1715e72254?w=400&h=500&fit=crop&q=80,95.00,,Clothing > Women,in stock,White,Women,w2228w
w23,Ruched Bodycon Dress,Mesh-lined ruched dress with a flattering gathered front. Long sleeves and midi length.,http://localhost:8080/product/detail.html?id=w23,https://images.unsplash.com/photo-1529139574466-a303027c1d8b?w=400&h=500&fit=crop&q=80,155.00,,Clothing > Women,in stock,Navy,Women,w2326n
w24,A-Line Wool Dress,Timeless A-line dress in Italian virgin wool. Darted bust and a concealed back zip.,http://localhost:8080/product/detail.html?id=w24,https://images.unsplash.com/photo-1548036328-c9fa89d128fa?w=400&h=500&fit=crop&q=80,210.00,,Clothing > Women,in stock,Beige,Women,w2420b
w25,Tulle Midi Dress,Layered tulle midi skirt with a fitted jersey bodice. An ethereal piece for special moments.,http://localhost:8080/product/detail.html?id=w25,https://images.unsplash.com/photo-1515886657613-9f3515b0c78f?w=400&h=500&fit=crop&q=80,245.00,,Clothing > Women,out of stock,Brown,Women,w2521b
w26,Lace Cocktail Dress,French lace cocktail dress with scalloped edges. Nude lining creates an illusion effect.,http://localhost:8080/product/detail.html?id=w26,https://images.unsplash.com/photo-1539109136881-3be0616acf4b?w=400&h=500&fit=crop&q=80,275.00,,Clothing > Women,in stock,Grey,Women,w2624g
w27,Cutout Midi Dress,Modern midi dress with strategic cutout details at the waist. Architectural and feminine.,http://localhost:8080/product/detail.html?id=w27,https://images.unsplash.com/photo-1485968579580-b6d095142e6e?w=400&h=500&fit=crop&q=80,185.00,,Clothing > Women,in stock,Camel,Women,w2722c
w28,Puff Sleeve Dress,Cotton dress with dramatic puff sleeves. Square neckline and a fitted bodice with full skirt.,http://localhost:8080/product/detail.html?id=w28,https://images.unsplash.com/photo-1496747611176-843222e1e57c?w=400&h=500&fit=crop&q=80,155.00,,Clothing > Women,in stock,Ivory,Women,w2825i
w29,Crochet Beach Dress,Hand-crocheted cotton dress for resort days. Open-weave pattern with a relaxed silhouette.,http://localhost:8080/product/detail.html?id=w29,https://images.unsplash.com/photo-1469334031218-e382a71b716b?w=400&h=500&fit=crop&q=80,125.00,,Clothing > Women,out of stock,Red,Women,w2927r
w30,Column Dress,Minimalist column dress in heavyweight jersey. Clean lines from shoulder to ankle.,http://localhost:8080/product/detail.html?id=w30,https://images.unsplash.com/photo-1554568218-0f1715e72254?w=400&h=500&fit=crop&q=80,195.00,,Clothing > Women,in stock,Green,Women,w3023g
w31,Corset Dress,Structured corset-bodice dress with boning detail. Attached full skirt in cotton sateen.,http://localhost:8080/product/detail.html?id=w31,https://images.unsplash.com/photo-1529139574466-a303027c1d8b?w=400&h=500&fit=crop&q=80,215.00,,Clothing > Women,in stock,Black,Women,w3119b
w32,Bandage Dress,Figure-sculpting bandage dress with strategically placed panels. Concealed back zipper.,http://localhost:8080/product/detail.html?id=w32,https://images.unsplash.com/photo-1548036328-c9fa89d128fa?w=400&h=500&fit=crop&q=80,175.00,,Clothing > Women,in stock,White,Women,w3228w
